section,code,title
A,0,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI"
A,01,"Landwirtschaft, Jagd und damit verbundene Tätigkeiten"
A,011,Anbau einjähriger Pflanzen
A,0111,"Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten"
A,011100,"Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten"
A,0112,Anbau von Reis
A,011200,Anbau von Reis
A,0113,Anbau von Gemüse und Melonen sowie Wurzeln und Knollen
A,011300,Anbau von Gemüse und Melonen sowie Wurzeln und Knollen
A,0114,Anbau von Zuckerrohr
A,011400,Anbau von Zuckerrohr
A,0115,Anbau von Tabak
A,011500,Anbau von Tabak
A,0116,Anbau von Faserpflanzen
A,011600,Anbau von Faserpflanzen
A,0119,Anbau von sonstigen einjährigen Pflanzen
A,011900,Anbau von sonstigen einjährigen Pflanzen
A,012,Anbau mehrjähriger Pflanzen
A,0121,Anbau von Wein- und Tafeltrauben
A,012101,Anbau von Wein- und Tafeltrauben
A,012102,Weinbau – Kellerei
A,0122,Anbau von tropischen und subtropischen Früchten
A,012200,Anbau von tropischen und subtropischen Früchten
A,0123,Anbau von Zitrusfrüchten
A,012300,Anbau von Zitrusfrüchten
A,0124,Anbau von Kern- und Steinobst
A,012400,Anbau von Kern- und Steinobst
A,0125,Anbau von sonstigem Obst und Nüssen
A,012500,Anbau von sonstigem Obst und Nüssen
A,0126,Anbau von ölhaltigen Früchten
A,012600,Anbau von ölhaltigen Früchten
A,0127,Anbau von Pflanzen zur Herstellung von Getränken
A,012700,Anbau von Pflanzen zur Herstellung von Getränken
A,0128,"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke"
A,012800,"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke"
A,0129,Anbau sonstiger mehrjähriger Pflanzen
A,012900,Anbau sonstiger mehrjähriger Pflanzen
A,013,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken
A,0130,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken
A,013000,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken
A,014,Tierhaltung
A,0141,Haltung von Milchkühen
A,014100,Haltung von Milchkühen
A,0142,Haltung von anderen Rindern
A,014200,Haltung von anderen Tieren der Rindergattung
A,0143,Haltung von Pferden und Eseln
A,014300,Haltung von Tieren der Pferdegattung
A,0144,Haltung von Kamelen
A,014400,Haltung von Kameliden
A,0145,Haltung von Schafen und Ziegen
A,014500,Haltung von Schafen und Ziegen
A,0146,Haltung von Schweinen
A,014600,Haltung von Schweinen
A,0147,Haltung von Geflügel
A,014700,Haltung von Geflügel
A,0149,Sonstige Tierhaltung
A,014900,Sonstige Tierhaltung
A,015,Gemischte Landwirtschaft
A,0150,Gemischte Landwirtschaft
A,015000,Gemischte Landwirtschaft
A,016,Erbringung von landwirtschaftlichen Dienstleistungen
A,0161,Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau
A,016100,Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau
A,0162,Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung
A,016200,Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung
A,0163,Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung
A,016300,Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung
A,0164,Saatgutaufbereitung
A,016400,Saatgutaufbereitung
A,017,"Jagd, Fallenstellerei und damit verbundene Tätigkeiten"
A,0170,"Jagd, Fallenstellerei und damit verbundene Tätigkeiten"
A,017000,"Jagd, Fallenstellerei und damit verbundene Tätigkeiten"
A,02,Forstwirtschaft und Holzeinschlag
A,021,Forstwirtschaft
A,0210,Forstwirtschaft
A,021000,Forstwirtschaft
