name,address,zip,place,country,subdivision
Kantonsschule am Burggraben St.Gallen,Burggraben 21,9000,St.Gallen,CH,SG
Kantonsschule am Brühl St.Gallen,Notkerstrasse 20,9000,St.Gallen,CH,SG
Kantonsschule Heerbrugg,Karl-Völker-Strasse 11,9435,Heerbrugg,CH,SG
Kantonsschule Sargans,Pizolstrasse 14,7320,Sargans,CH,SG
Kantonsschule Wattwil,Näppisuelistrasse 11,9630,Wattwil,CH,SG
Kantonsschule Wil ,"Hubstrasse 75, Postfach",9501,Wil,CH,SG
Gymnasium Friederberg,Friedbergstrasse 16,9200,Gossau,CH,SG
Gymnasium Untere Waid,Rorschacherstrasse 694,9402,Mörschwil,CH,SG
Interstaatliche Maturitätsschule für Erwachsene St.Gallen/Sargans,"Magnihalden 7, Postfach",9004,St.Gallen,CH,SG
Schulhaus Feld II ,Heidenerstrasse 5,9450,Altstätten,CH,SG
Schulhaus Wiesental ,Wiesentalstrasse 8,9450,Altstätten,CH,SG
Schulhaus Schöntal ,Schöntal,9450,Altstätten,CH,SG
Schulhaus Klaus ,Klausstrasse 8,9450,Altstätten,CH,SG
Primarschule Amden ,Kirchstrasse 6,8873,Amden,CH,SG
Schulhaus Ebnet ,Arneggerstrasse 14,9204,Andwil,CH,SG
Primarschulhaus Wees ,Walzenhauserstrasse 4,9434,Au,CH,SG
Schulhaus Blattacker ,Brändlistrasse 3,9435,Heerbrugg,CH,SG
Schulhaus Kleinfeld Ost ,Sarganserstrasse 31,7310,Bad Ragaz,CH,SG
Oberstufenzentrum Kirchgasse ,Kirchgasse 10,7310,Bad Ragaz,CH,SG
Schulhaus Breite ,Breitestrasse 4,9436,Balgach,CH,SG
Schulhaus Oberdorf ,Blattenstrasse 9,8717,Benken,CH,SG
Schulhaus Oberdorf ,Blattenstrasse 9,8717,Benken,CH,SG
Primarschulhaus Brühl ,Brühl,9305,Berg,CH,SG
Schulhaus Bünt ,Büntstrasse 6,9442,Berneck,CH,SG
Schulhaus Bünt ,Büntstrasse 6,9442,Berneck,CH,SG
Schulhaus Räfis ,Churerstrasse 119,9470,Buchs,CH,SG
Schulhaus Hanfland ,Hanflandstrasse 5,9470,Buchs,CH,SG
Oberstufenzentrum Flös ,Heldaustrasse 50,9470,Buchs,CH,SG
Oberstufenzentrum Grof ,Schulhausstrasse 30,9470,Buchs,CH,SG
Schulhaus Grof ,Schulhausstrasse 10,9470,Buchs,CH,SG
Schulhaus Buchserbach ,Turnhallenstrasse 4,9470,Buchs,CH,SG
Oberstufenschulhaus BuGaLu ,Grämigerstrasse 6,9606,Bütschwil,CH,SG
Oberstufenschulhaus BuGaLu ,Grämigerstrasse 6,9606,Bütschwil,CH,SG
Schulhaus Dorf ,Toggenburger Strasse 11,9608,Ganterschwil,CH,SG
Primarschulhaus Bütschwil (neu Gemeinde Bütschwil-Ganterschwil),Mittendorfstrasse 15,9606,Bütschwil,CH,SG
Schulhaus Steinegg ,Turnplatzweg 2,9113,Degersheim,CH,SG
Schulhaus Steinegg ,Turnplatzweg 2,9113,Degersheim,CH,SG
Oberstufenschulhaus Degersheim ,Schulstrasse 15,9113,Degersheim,CH,SG
Oberstufenzentrum Kleewies ,Kleewiesstrasse 16,9444,Diepoldsau,CH,SG
Schulhaus Kirchenfeld  ,Hintere Kirchstrasse 14,9444,Diepoldsau,CH,SG
Schulhaus Mitteldorf ,Vordere Kirchstrasse 5,9444,Diepoldsau,CH,SG
Schulhaus Gill ,Badistrasse 31,9642,Ebnat-Kappel,CH,SG
Schulhaus Schafbüchel ,Schafbüchelstrasse 9/11,9642,Ebnat-Kappel,CH,SG
Schulhaus Schafbüchel ,Schafbüchelstrasse 9/11,9642,Ebnat-Kappel,CH,SG
Oberstufenzentrum Wier ,Rosenbüelstrasse 47,9642,Ebnat-Kappel,CH,SG
Primarschulhaus Eggersriet ,Mühlbachstrasse 1,9034,Eggersriet,CH,SG
Primarschule Kriessern ,,9451,Kriessern,CH,SG
Primarschule Montlingen ,Bergliweg 8,9462,Montlingen,CH,SG
Primarschule Eichenwies ,Alvierstrasse 1,9463,Oberriet ,CH,SG
Primarschule Oberriet ,,9463,Oberriet,CH,SG
Schuleinheit Kriessern,Kirchdorfstrasse 12,9451 ,Kriesern,CH,SG
Oberstufenschulhaus Breiten ,Bildstöcklistrasse 2,8733,Eschenbach,CH,SG
Schulhaus St.Gallenkappel ,Schulstrasse 1,8735,St.Gallenkappel,CH,SG
Schulhaus Dorf ,Rütistrasse 1,8733,Eschenbach,CH,SG
Schulhaus Kirchacker ,Rapperswilerstrasse 14,8733,Eschenbach,CH,SG
Oberstufenschulhaus Breiten ,Bildstöcklistrasse 2,8733,Eschenbach,CH,SG
Schulhaus Kirchacker ,Rapperswilerstrasse 14,8733,Eschenbach,CH,SG
Schulhaus Feld ,Landbergstrasse 9,9230,Flawil,CH,SG
Schulhaus Hinterer Grund ,Schulstrasse 6,9230,Flawil,CH,SG
Oberstufenzentrum Flawil ,Landbergstrasse 45,9230,Flawil,CH,SG
Oberstufenzentrum Feld ,Landbergstrasse 45,9230,Flawil,CH,SG
Schulhaus Enzenbühl ,Enzenbühlstrasse 50,9230,Flawil,CH,SG
Schulhaus Botsberg ,Botsberg 3632,9230,Flawil,CH,SG
Neues Schulhaus ,Bahnhofstrasse 23,8890,Flums-Dorf,CH,SG
Oberstufenzentrum ,Marktstrasse 8/9,8890,Flums,CH,SG
Schulhaus Sonnenhof ,,9533,Kirchberg,CH,SG
Oberstufenzentrum Mühlizelg ,Sonnenbergstrasse 15,9030,Abtwil,CH,SG
Schulhaus Grund ,Hauptstrasse 41,9030,Abtwil,CH,SG
Schulhaus Ebnet I ,Sennhüslenstrasse,9030,Abtwil,CH,SG
Schulhaus Dorf ,St.Galler Strasse 24,9032,Engelburg,CH,SG
Schulhaus Grund,Hauptstrasse 41,9030,Abtwil,CH,SG
Primarschulhaus Höfli ,Gasenzenstrasse 31 ,9473,Gams,CH,SG
Schulhaus Hof ,Haagerstrasse 5 ,9473,Gams,CH,SG
Time-out Schule Werdenberg ,Hinderbergstrasse 15 ,9473,Gams,CH,SG
Oberstufenzentrum Goldach ,Schülerweg 2,9403,Goldach,CH,SG
Schulhaus Wartegg ,Schülerweg 5,9403,Goldach,CH,SG
Schulhaus Bachfeld ,Nelkenweg 12,9403,Goldach,CH,SG
Oberstufenschulhaus Gommiswald ,Rietwiesstrasse 11,8737,Gommiswald,CH,SG
Schulhaus Primarium ,,8737,Gommiswald,CH,SG
Schulhaus Primarium ,,8737,Gommiswald,CH,SG
OZ Buechenwald ,Seminarstrasse 5,9200,Gossau,CH,SG
Haldenbüelschulhaus ,Hochstrasse 4,9200,Gossau,CH,SG
Hirschbergschulhaus ,St.Galler Strasse 245,9200,Gossau,CH,SG
Oberstufenzentrum Rosenau ,Friedbergstrasse 34A,9200,Gossau,CH,SG
Notkerschulhaus ,Parkstrasse 8,9200,Gossau,CH,SG
Oberstufenschulhaus Kirchbünt ,Schulhausstrasse 7,9472,Grabs,CH,SG
Schulhaus Quader ,Marhaldenstrasse 8,9472,Grabs,CH,SG
Schulhaus Berg ,Boden,9472,Grabserberg,CH,SG
Schulhaus Feld ,Staatsstrasse 72,9472,Grabs,CH,SG
Primarschulhaus Häggenschwil ,Dorfstrasse 4,9312,Häggenschwil,CH,SG
Schulhaus Dreieggli Drüeggli 970,,9633,Hemberg,CH,SG
Schulhaus Dorf ,Schulhausstrasse 1,9453,Eichberg,CH,SG
Schulhaus Notker ,Schulstrasse 13,9243,Jonschwil,CH,SG
Oberstufenzentrum Degenau ,Steigstrasse,9243,Jonschwil,CH,SG
Schulhaus Hältli ,Schulweg,8722,Kaltbrunn,CH,SG
Oberstufenzentrum Kaltbrunn ,Schulweg 3,8722,Kaltbrunn,CH,SG
Schulhaus Altbreiten ,Schulhausstrasse,8722,Kaltbrunn,CH,SG
Schulhaus Eichbüel ,Wilerstrasse 39,9602,Bazenheid,CH,SG
Oberstufenschulhaus Lerchenfeld ,Lerchenfeldstrasse 9,9533,Kirchberg,CH,SG
Schulhaus Neugasse ,Neugasse 16,9602,Bazenheid,CH,SG
