section,code,title
A,0,"AGRICULTURE, FORESTRY AND FISHING"
A,01,"Crop and animal production, hunting and related service activities"
A,011,Growing of non-perennial crops
A,0111,"Growing of cereals (except rice), leguminous crops and oil seeds"
A,011100,"Growing of cereals (except rice), leguminous crops and oil seeds"
A,0112,Growing of rice
A,011200,Growing of rice
A,0113,"Growing of vegetables and melons, roots and tubers"
A,011300,"Growing of vegetables and melons, roots and tubers"
A,0114,Growing of sugar cane
A,011400,Growing of sugar cane
A,0115,Growing of tobacco
A,011500,Growing of tobacco
A,0116,Growing of fibre crops
A,011600,Growing of fibre crops
A,0119,Growing of other non-perennial crops
A,011900,Growing of other non-perennial crops
A,012,Growing of perennial crops
A,0121,Growing of grapes
A,012101,Growing of grapes
A,012102,Viticulture – Vinification and cellaring
A,0122,Growing of tropical and subtropical fruits
A,012200,Growing of tropical and subtropical fruits
A,0123,Growing of citrus fruits
A,012300,Growing of citrus fruits
A,0124,Growing of pome fruits and stone fruits
A,012400,Growing of pome fruits and stone fruits
A,0125,Growing of other tree and bush fruits and nuts
A,012500,Growing of other tree and bush fruits and nuts
A,0126,Growing of oleaginous fruits
A,012600,Growing of oleaginous fruits
A,0127,Growing of beverage crops
A,012700,Growing of beverage crops
A,0128,"Growing of spices, aromatic, drug and pharmaceutical crops"
A,012800,"Growing of spices, aromatic, drug and pharmaceutical crops"
A,0129,Growing of other perennial crops
A,012900,Growing of other perennial crops
A,013,Plant propagation
A,0130,Plant propagation
A,013000,Plant propagation
A,014,Animal production
A,0141,Raising of dairy cattle
A,014100,Raising of dairy cattle
A,0142,Raising of other cattle and buffaloes
A,014200,Raising of other cattle and buffaloes
A,0143,Raising of horses and other equines
A,014300,Raising of horses and other equines
A,0144,Raising of camels and camelids
A,014400,Raising of camels and camelids
A,0145,Raising of sheep and goats
A,014500,Raising of sheep and goats
A,0146,Raising of swine/pigs
A,014600,Raising of swine/pigs
A,0147,Raising of poultry
A,014700,Raising of poultry
A,0149,Raising of other animals
A,014900,Raising of other animals
A,015,Mixed farming
A,0150,Mixed farming
A,015000,Mixed farming
A,016,Support activities to agriculture and post-harvest crop activities
A,0161,Support activities for crop production
A,016100,Support activities for crop production
A,0162,Support activities for animal production
A,016200,Support activities for animal production
A,0163,Post-harvest crop activities
