section,code,title
A,0,"AGRICULTURE, SYLVICULTURE ET PÊCHE"
A,01,"Culture et production animale, chasse et services annexes"
A,011,Cultures non permanentes
A,0111,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
A,011100,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
A,0112,Culture du riz
A,011200,Culture du riz
A,0113,"Culture de légumes, de melons, de racines et de tubercules"
A,011300,"Culture de légumes, de melons, de racines et de tubercules"
A,0114,Culture de la canne à sucre
A,011400,Culture de la canne à sucre
A,0115,Culture du tabac
A,011500,Culture du tabac
A,0116,Culture de plantes à fibres
A,011600,Culture de plantes à fibres
A,0119,Autres cultures non permanentes
A,011900,Autres cultures non permanentes
A,012,Cultures permanentes
A,0121,Culture de la vigne
A,012101,Culture de la vigne
A,012102,Viticulture – Encavage
A,0122,Culture de fruits tropicaux et subtropicaux
A,012200,Culture de fruits tropicaux et subtropicaux
A,0123,Culture d'agrumes
A,012300,Culture d'agrumes
A,0124,Culture de fruits à pépins et à noyau
A,012400,Culture de fruits à pépins et à noyau
A,0125,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
A,012500,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
A,0126,Culture de fruits oléagineux
A,012600,Culture de fruits oléagineux
A,0127,Culture de plantes à boissons
A,012700,Culture de plantes à boissons
A,0128,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
A,012800,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
A,0129,Autres cultures permanentes
A,012900,Autres cultures permanentes
A,013,Reproduction de plantes
A,0130,Reproduction de plantes
A,013000,Multiplication et production de plantes
A,014,Production animale
A,0141,Élevage de vaches laitières
A,014100,Élevage de vaches laitières
A,0142,Élevage d'autres bovins et de buffles
A,014200,Élevage d'autres bovins et de buffles
A,0143,Élevage de chevaux et d'autres équidés
A,014300,Élevage de chevaux et d'autres équidés
A,0144,Élevage de chameaux et d'autres camélidés
A,014400,Élevage de chameaux et d'autres camélidés
A,0145,Élevage d'ovins et de caprins
A,014500,Élevage d'ovins et de caprins
A,0146,Élevage de porcins
A,014600,Élevage de porcins
A,0147,Élevage de volailles
A,014700,Élevage de volailles
A,0149,Élevage d'autres animaux
A,014900,Élevage d'autres animaux
A,015,Culture et élevage associés
A,0150,Culture et élevage associés
A,015000,Culture et élevage associés
A,016,Activités de soutien à l'agriculture et traitement primaire des récoltes 
A,0161,Activités de soutien aux cultures 
A,016100,Activités de soutien aux cultures 
A,0162,Activités de soutien à la production animale
A,016200,Activités de soutien à la production animale
A,0163,Traitement primaire des récoltes 
A,016300,Traitement primaire des récoltes 
A,0164,Traitement des semences 
A,016400,Traitement des semences 
A,017,"Chasse, piégeage et services annexes"
A,0170,"Chasse, piégeage et services annexes"
A,017000,"Chasse, piégeage et services annexes"
A,02,Sylviculture et exploitation forestière
A,021,Sylviculture et autres activités forestières
A,0210,Sylviculture et autres activités forestières
A,021000,Sylviculture et autres activités forestières
A,022,Exploitation forestière
A,0220,Exploitation forestière
A,022000,Exploitation forestière
A,023,Récolte de produits forestiers non ligneux poussant à l'état sauvage
A,0230,Récolte de produits forestiers non ligneux poussant à l'état sauvage
A,023000,Récolte de produits forestiers non ligneux poussant à l'état sauvage
A,024,Services de soutien à l'exploitation forestière
A,0240,Services de soutien à l'exploitation forestière
A,024000,Services de soutien à l'exploitation forestière
A,03,Pêche et aquaculture
A,031,Pêche
A,0311,Pêche en mer
A,031100,Pêche en mer
A,0312,Pêche en eau douce
A,031200,Pêche en eau douce
A,032,Aquaculture
A,0321,Aquaculture en mer
A,032100,Aquaculture en mer
A,0322,Aquaculture en eau douce
A,032200,Aquaculture en eau douce
