section,code,title
A,0,"AGRICOLTURA, SILVICOLTURA E PESCA"
A,01,"Produzioni vegetali e animali, caccia e servizi connessi"
A,011,Coltivazione di colture agricole non permanenti
A,0111,"Coltivazione di cereali (tranne il riso), legumi da granella e semi oleosi"
A,011100,"Coltivazione di cereali (tranne il riso), legumi da granella e semi oleosi"
A,0112,Coltivazione del riso
A,011200,Coltivazione del riso
A,0113,"Coltivazione di ortaggi e meloni, radici e tuberi"
A,011300,"Coltivazione di ortaggi e meloni, radici e tuberi"
A,0114,Coltivazione di canna da zucchero
A,011400,Coltivazione di canna da zucchero
A,0115,Coltivazione di tabacco
A,011500,Coltivazione di tabacco
A,0116,Coltivazione di piante tessili
A,011600,Coltivazione di piante tessili
A,0119,Coltivazione di altre colture non permanenti
A,011900,Coltivazione di altre colture non permanenti
A,012,Coltivazione di colture permanenti
A,0121,Coltivazione di uva
A,012101,Coltivazione di uva
A,012102,Viticoltura – Vinificazione e Invecchiamento
A,0122,Coltivazione di frutta di origine tropicale e subtropicale
A,012200,Coltivazione di frutta di origine tropicale e subtropicale
A,0123,Coltivazione di agrumi
A,012300,Coltivazione di agrumi
A,0124,Coltivazione di pomacee e frutta a nocciolo
A,012400,Coltivazione di pomacee e frutta a nocciolo
A,0125,"Coltivazione di altri alberi da frutta, frutti di bosco e in guscio"
A,012500,"Coltivazione di altri alberi da frutta, frutti di bosco e in guscio"
A,0126,Coltivazione di frutti oleosi
A,012600,Coltivazione di frutti oleosi
A,0127,Coltivazione di piante per la produzione di bevande
A,012700,Coltivazione di piante per la produzione di bevande
A,0128,"Coltivazione di spezie, piante aromatiche e farmaceutiche"
A,012800,"Coltivazione di spezie, piante aromatiche e farmaceutiche"
A,0129,Coltivazione di altre colture permanenti
A,012900,Coltivazione di altre colture permanenti
A,013,Riproduzione delle piante
A,0130,Riproduzione delle piante
A,013000,Riproduzione delle piante
A,014,Allevamento di animali
A,0141,Allevamento di bovini da latte
A,014100,Allevamento di bovini da latte
A,0142,Allevamento di altri bovini e di bufalini
A,014200,Allevamento di altri bovini e di bufalini
A,0143,Allevamento di cavalli e altri equini
A,014300,Allevamento di cavalli e altri equini
A,0144,Allevamento di cammelli e camelidi
A,014400,Allevamento di cammelli e camelidi
A,0145,Allevamento di ovini e caprini
A,014500,Allevamento di ovini e caprini
A,0146,Allevamento di suini
A,014600,Allevamento di suini
A,0147,Allevamento di pollame
A,014700,Allevamento di pollame
A,0149,Allevamento di altri animali
A,014900,Allevamento di altri animali
A,015,Coltivazioni agricole associate all'allevamento di animali: attività mista
A,0150,Coltivazioni agricole associate all'allevamento di animali: attività mista
A,015000,Coltivazioni agricole associate all'allevamento di animali: attività mista
A,016,Attività di supporto all'agricoltura e attività successive alla raccolta
A,0161,Attività di supporto alla produzione vegetale
A,016100,Attività di supporto alla produzione vegetale
A,0162,Attività di supporto alla produzione animale
A,016200,Attività di supporto alla produzione animale
A,0163,Attività successive alla raccolta
A,016300,Attività successive alla raccolta
A,0164,Lavorazione delle sementi per la semina
A,016400,Lavorazione delle sementi per la semina
A,017,"Caccia, cattura di animali e servizi connessi"
A,0170,"Caccia, cattura di animali e servizi connessi"
A,017000,"Caccia, cattura di animali e servizi connessi"
A,02,Silvicoltura e utilizzo di aree forestali
A,021,Silvicoltura e altre attività forestali
A,0210,Silvicoltura e altre attività forestali
A,021000,Silvicoltura e altre attività forestali
A,022,Utilizzo di aree forestali
A,0220,Utilizzo di aree forestali
A,022000,Utilizzo di aree forestali
A,023,Raccolta di prodotti non legnosi selvatici
A,0230,Raccolta di prodotti non legnosi selvatici
A,023000,Raccolta di prodotti non legnosi selvatici
A,024,Servizi di supporto per la silvicoltura
A,0240,Servizi di supporto per la silvicoltura
A,024000,Servizi di supporto per la silvicoltura
A,03,Pesca e acquicoltura
A,031,Pesca
A,0311,Pesca marina
A,031100,Pesca marina
A,0312,Pesca in acque dolci
A,031200,Pesca in acque dolci
A,032,Acquicoltura
A,0321,Acquicoltura marina
A,032100,Acquicoltura marina
A,0322,Acquicoltura in acque dolci
A,032200,Acquicoltura in acque dolci
B,0,ATTIVITÀ ESTRATTIVA
B,05,Estrazione di carbone e lignite
B,051,Estrazione di antracite
